metric	transe 100 epochs	transe 100 epochs (OpenKE implementation)	rotate 100 epochs	rotate 1000 epochs	transd 100 epochs (OpenKE implementation)	transd 100 epochs
Hits@1	0.832	0.896	0.507	0.488	0.886	0.887
Hits@2	0.762	0.859	0.511	0.501	0.849	0.836
Hits@3	0.761	0.843	0.508	0.485	0.833	0.830
Hits@4	0.753	0.835	0.503	0.500	0.837	0.831
MAP@1	0.843	0.918	0.523	0.494	0.888	0.887
MAP@2	0.923	0.958	0.741	0.725	0.957	0.944
MAP@3	0.911	0.951	0.713	0.705	0.952	0.941
MAP@4	0.901	0.946	0.691	0.654	0.947	0.937
MRR@1	0.895	0.937	0.758	0.740	0.936	0.935
MRR@2	0.886	0.948	0.761	0.734	0.940	0.934
MRR@3	0.894	0.958	0.745	0.733	0.958	0.940
MRR@4	0.895	0.967	0.749	0.723	0.972	0.946
NDCG@1	0.921	0.942	0.842	0.874	0.941	0.902
NDCG@2	0.926	0.943	0.813	0.847	0.941	0.897
NDCG@3	0.907	0.949	0.801	0.859	0.947	0.896
NDCG@4	0.901	0.949	0.788	0.859	0.948	0.919
