metric	gcn-truncated(epochs: 10, learning-rate: 0.01)	gcn-truncated(epochs: 10, learning-rate: 0.015)	gcn-truncated(epochs: 10, learning-rate: 0.3)	gcn-truncated(epochs: 50, learning-rate: 0.01)	gcn-truncated(epochs: 50, learning-rate: 0.015)	gcn-truncated(epochs: 50, learning-rate: 0.3)	gcn-truncated(epochs: 100, learning-rate: 0.01)	gcn-truncated(epochs: 100, learning-rate: 0.015)	gcn-truncated(epochs: 100, learning-rate: 0.3)	gcn-truncated(epochs: 500, learning-rate: 0.01)	gcn-truncated(epochs: 500, learning-rate: 0.015)	gcn-truncated(epochs: 500, learning-rate: 0.3)	gcn-truncated(epochs: 1000, learning-rate: 0.01)	gcn-truncated(epochs: 1000, learning-rate: 0.015)	gcn-truncated(epochs: 1000, learning-rate: 0.3)	gcn-truncated(epochs: 5000, learning-rate: 0.01)	gcn-truncated(epochs: 5000, learning-rate: 0.015)	gcn-truncated(epochs: 5000, learning-rate: 0.3)	gcn-truncated(epochs: 10000, learning-rate: 0.01)	gcn-truncated(epochs: 10000, learning-rate: 0.015)	gcn-truncated(epochs: 10000, learning-rate: 0.3)
Accuracy@0.000	0.372	0.373	0.373	0.373	0.373	0.374	0.373	0.372	0.373	0.373	0.373	0.373	0.374	0.373	0.374	0.374	0.372	0.373	0.373	0.374	0.373
Accuracy@0.000 (reversed)	0.628	0.627	0.627	0.627	0.627	0.626	0.627	0.628	0.627	0.627	0.627	0.627	0.626	0.627	0.626	0.626	0.628	0.627	0.627	0.626	0.627
Accuracy@0.200	0.372	0.373	0.373	0.373	0.373	0.374	0.373	0.372	0.373	0.373	0.373	0.373	0.374	0.373	0.374	0.374	0.372	0.373	0.373	0.374	0.373
Accuracy@0.400	0.372	0.373	0.373	0.373	0.373	0.374	0.373	0.372	0.373	0.373	0.373	0.373	0.374	0.373	0.374	0.374	0.372	0.373	0.373	0.374	0.373
Accuracy@0.600	0.628	0.627	0.627	0.549	0.491	0.626	0.492	0.440	0.627	0.434	0.498	0.627	0.524	0.534	0.626	0.477	0.502	0.627	0.560	0.513	0.627
Accuracy@0.800	0.628	0.627	0.627	0.601	0.497	0.626	0.528	0.529	0.627	0.486	0.544	0.627	0.570	0.554	0.626	0.507	0.534	0.627	0.596	0.549	0.627
Accuracy@1.000	0.628	0.627	0.627	0.627	0.627	0.626	0.627	0.628	0.627	0.627	0.627	0.627	0.626	0.627	0.626	0.626	0.628	0.627	0.627	0.626	0.627
F1Score@0.000	0.538	0.542	0.541	0.543	0.542	0.539	0.543	0.539	0.542	0.542	0.543	0.543	0.540	0.543	0.542	0.543	0.541	0.543	0.543	0.542	0.543
F1Score@0.000 (reversed)	0.769	0.770	0.770	0.770	0.770	0.767	0.770	0.769	0.771	0.770	0.770	0.770	0.767	0.771	0.769	0.770	0.770	0.770	0.770	0.769	0.770
F1Score@0.200	0.538	0.542	0.541	0.543	0.542	0.539	0.543	0.539	0.542	0.542	0.543	0.543	0.540	0.543	0.542	0.543	0.541	0.543	0.543	0.542	0.543
F1Score@0.400	0.538	0.542	0.541	0.543	0.542	0.539	0.543	0.539	0.542	0.542	0.543	0.543	0.540	0.543	0.542	0.543	0.541	0.543	0.543	0.542	0.543
F1Score@0.600	-	-	-	0.459	0.530	-	0.546	0.513	-	0.479	0.534	-	0.577	-	-	0.491	0.509	-	0.494	0.314	-
F1Score@0.800	-	-	-	-	0.427	-	0.522	0.524	-	0.439	0.509	-	0.577	-	-	0.453	0.491	-	0.492	0.316	-
F1Score@1.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Precision@0.000	0.372	0.373	0.373	0.373	0.373	0.374	0.373	0.372	0.373	0.373	0.373	0.373	0.374	0.373	0.374	0.374	0.372	0.373	0.373	0.374	0.373
Precision@0.000 (reversed)	0.628	0.627	0.627	0.627	0.627	0.626	0.627	0.628	0.627	0.627	0.627	0.627	0.626	0.627	0.626	0.626	0.628	0.627	0.627	0.626	0.627
Precision@0.200	0.372	0.373	0.373	0.373	0.373	0.374	0.373	0.372	0.373	0.373	0.373	0.373	0.374	0.373	0.374	0.374	0.372	0.373	0.373	0.374	0.373
Precision@0.400	0.372	0.373	0.373	0.373	0.373	0.374	0.373	0.372	0.373	0.373	0.373	0.373	0.374	0.373	0.374	0.374	0.372	0.373	0.373	0.374	0.373
Precision@0.600	-	-	-	0.420	0.409	-	0.412	0.383	-	0.369	0.410	-	0.432	-	-	0.387	0.405	-	0.441	0.399	-
Precision@0.800	-	-	-	-	0.376	-	0.422	0.420	-	0.377	0.426	-	0.458	-	-	0.386	0.414	-	0.476	0.476	-
Precision@1.000	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Recall@0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
Recall@0.000 (reversed)	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
Recall@0.200	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
Recall@0.400	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
Recall@0.600	0.000	0.000	0.000	0.561	0.769	0.000	0.828	0.801	0.000	0.698	0.775	0.000	0.897	0.564	0.000	0.688	0.703	0.000	0.598	0.402	0.000
Recall@0.800	0.000	0.000	0.000	0.179	0.513	0.000	0.701	0.707	0.000	0.554	0.636	0.000	0.816	0.490	0.000	0.561	0.608	0.000	0.543	0.371	0.000
Recall@1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
