metric	vgae(embeddings=10, hidden=10, lr=0.15)	vgae(embeddings=20, hidden=20, lr=0.15)	vgae(embeddings=20, hidden=20, lr=0.3)	vgae(embeddings=20, hidden=20, lr=0.005)	vgae(embeddings=20, hidden=20, lr=0.1) + additional hidden layer in the classifier
Accuracy@0.000	0.626	0.627	0.627	0.627	0.627
Accuracy@0.000 (reversed)	0.374	0.373	0.373	0.373	0.373
Accuracy@0.200	0.626	0.627	0.627	0.627	0.627
Accuracy@0.400	0.626	0.627	0.627	0.627	0.627
Accuracy@0.600	0.467	0.627	0.616	0.627	0.627
Accuracy@0.800	0.441	0.425	0.432	0.601	0.627
Accuracy@1.000	0.374	0.373	0.373	0.373	0.581
F1Score@0.000	0.767	0.770	0.768	0.771	0.769
F1Score@0.000 (reversed)	0.539	0.543	0.540	0.543	0.541
F1Score@0.200	0.767	0.770	0.768	0.771	0.769
F1Score@0.400	0.767	0.770	0.768	0.771	0.769
F1Score@0.600	0.497	0.767	0.758	0.771	0.769
F1Score@0.800	-	-	-	0.739	0.769
F1Score@1.000	-	-	-	-	0.691
Precision@0.000	0.626	0.627	0.627	0.627	0.627
Precision@0.000 (reversed)	0.374	0.373	0.373	0.373	0.373
Precision@0.200	0.626	0.627	0.627	0.627	0.627
Precision@0.400	0.626	0.627	0.627	0.627	0.627
Precision@0.600	0.547	0.630	0.628	0.627	0.627
Precision@0.800	-	-	0.367	0.628	0.627
Precision@1.000	-	-	-	-	0.633
Recall@0.000	1.000	1.000	1.000	1.000	1.000
Recall@0.000 (reversed)	1.000	1.000	1.000	1.000	1.000
Recall@0.200	1.000	1.000	1.000	1.000	1.000
Recall@0.400	1.000	1.000	1.000	1.000	1.000
Recall@0.600	0.674	0.984	0.969	1.000	1.000
Recall@0.800	0.590	0.308	0.344	0.902	1.000
Recall@1.000	0.000	0.000	0.000	0.000	0.762
